Results for n = 2:
  Run         n    W  Result               Time (s)
   20  18.000000   622  (13, 7999, [2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1])          0.000390
   21  18.000000   805  (9, 5314, [3, 1, 2, 1, 2, 2, 3, 1, 3])                       0.005919
   22  18.000000   548  (9, 4624, [3, 2, 1, 4, 1, 2, 1, 1, 3])                       0.006505
   23  18.000000   712  (12, 5526, [1, 1, 2, 1, 1, 1, 1, 2, 4, 1, 1, 2])             0.000612
   24  18.000000   687  (14, 8334, [1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1])       0.000124
   25  18.000000   917  (14, 7924, [1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 1])       0.000146

--------------------------------------------------------------------------------

Results for n = 20:
  Run          n    W  Result                                                                 Time (s)
-----  ---------  ---  -------------------------------------------------------------------  ----------
    1  20.000000  772  (17, 7171, [1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1])        0.000209
    2  20.000000  505  (13, 7880, [1, 1, 1, 1, 1, 3, 1, 4, 1, 1, 1, 1, 3])                    0.000743
    3  20.000000  874  (14, 8222, [1, 1, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 2, 2])                 0.000315
    4  20.000000  923  (12, 8220, [4, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 3])                       0.001962
    5  20.000000  913  (13, 6918, [2, 1, 2, 1, 2, 1, 1, 3, 3, 1, 1, 1, 1])                    0.002610
    6  20.000000  773  (13, 5894, [1, 1, 1, 3, 2, 1, 2, 2, 1, 1, 2, 2, 1])                    0.002040
    7  20.000000  905  (13, 7727, [2, 1, 2, 2, 2, 1, 2, 1, 1, 2, 2, 1, 1])                    0.000768
    8  20.000000  633  (15, 8727, [1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 2, 1])              0.000245
    9  20.000000  954  (12, 7219, [1, 1, 1, 2, 4, 1, 1, 1, 1, 3, 2, 2])                       0.002395
   10  20.000000  534  (14, 7143, [1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 4, 2])                 0.000186
   11  20.000000  526  (11, 5995, [3, 4, 3, 1, 2, 1, 1, 2, 1, 1, 1])                          0.006882
